Video;Channel;Published Date;Comment;Author;Likes;Reply Count;Stance;Camp Definition;Arousal Score;Emotion;Core Argument;Unresolved Question;Link;Comment Analysis Coverage;Camp Shares
Albion Online | Dragonfire Update Introduction;Albion Online;2026-07-24;Finally us solo players are included thank you for listening;@Kinjar44693;342;24;NEUTRAL_SPAM;;0.0;Neutral;-;;https://www.youtube.com/watch?v=MuzHc8yILwE;93.5% (606/648);No identified camps
Albion Online | Dragonfire Update Introduction;Albion Online;2026-07-24;Finally an update that will get me out the roads;@TBanj;266;14;NEUTRAL_SPAM;;0.0;Neutral;-;;https://www.youtube.com/watch?v=MuzHc8yILwE;93.5% (606/648);No identified camps
Albion Online | Dragonfire Update Introduction;Albion Online;2026-07-24;4:12 Thank you for giving solo players the opportunity to participate in this event;@stalker31333;187;9;NEUTRAL_SPAM;;0.0;Neutral;-;;https://www.youtube.com/watch?v=MuzHc8yILwE;93.5% (606/648);No identified camps
Albion Online | Dragonfire Update Introduction;Albion Online;2026-07-24;New Fish coming to Albion! Let’s go! Chat we are so back!;@AnglerBrown;84;3;NEUTRAL_SPAM;;0.0;Neutral;-;;https://www.youtube.com/watch?v=MuzHc8yILwE;93.5% (606/648);No identified camps
Albion Online | Dragonfire Update Introduction;Albion Online;2026-07-24;i gotta feeling the dragon mount will make mammoth looks cheap;@flowerofash4439;62;12;NEUTRAL_SPAM;;0.0;Neutral;-;;https://www.youtube.com/watch?v=MuzHc8yILwE;93.5% (606/648);No identified camps
Albion Online | Dragonfire Update Introduction;Albion Online;2026-07-24;Now, this an update worth coming back for;@byw3669;60;3;NEUTRAL_SPAM;;0.0;Neutral;-;;https://www.youtube.com/watch?v=MuzHc8yILwE;93.5% (606/648);No identified camps
Albion Online | Dragonfire Update Introduction;Albion Online;2026-07-24;Ngl this final Dragon boss is FIRE!;@Molonelgg;58;1;NEUTRAL_SPAM;;0.0;Neutral;-;;https://www.youtube.com/watch?v=MuzHc8yILwE;93.5% (606/648);No identified camps
Albion Online | Dragonfire Update Introduction;Albion Online;2026-07-24;the dragon about to cost a billon;@arham2549;48;3;NEUTRAL_SPAM;;0.0;Neutral;-;;https://www.youtube.com/watch?v=MuzHc8yILwE;93.5% (606/648);No identified camps
Albion Online | Dragonfire Update Introduction;Albion Online;2026-07-24;Next one will get you out of the house;@illy_ayaya;37;0;NEUTRAL_SPAM;;0.0;Neutral;-;;https://www.youtube.com/watch?v=MuzHc8yILwE;93.5% (606/648);No identified camps
Albion Online | Dragonfire Update Introduction;Albion Online;2026-07-24;This game has PvP from the moment you log in until you go to sleep, and I love that (it's no surprise I have 6B PvP fame). But what Albion still lacks is truly immersive PvE: rare drops, difficult boss mechanics, something closer to WoW or Tibia.  If the best rewards are locked behind another 8.4-style objective, casual players (the majority of the playerbase) either won't experience the content or it'll just become another mandatory CTA where alliance leaders get the loot and everyone else gets regeared.  You already have resource nodes, map quality, castles, and territories to drive large-scale alliance fights. Why not make Azeroth a 10-day personal cooldown dungeon, where 10-15 players who earned enough Dragon Fame can enter and face a brutal, mechanic-heavy raid with chances to drop rare mounts, skins, and weapons?  Not every great feature needs to revolve around mega alliances. Albion needs more memorable PvE, not more alliance content.;@GordinhAlbion;27;2;NEUTRAL_SPAM;;0.0;Neutral;-;;https://www.youtube.com/watch?v=MuzHc8yILwE;93.5% (606/648);No identified camps
