Video;Channel;Published Date;Comment;Author;Likes;Reply Count;Stance;Camp Definition;Arousal Score;Emotion;Core Argument;Unresolved Question;Link;Comment Analysis Coverage
🟥Karol Nawrocki korzystał z brudnych pieniędzy. Prezydent, jak i inni politycy patoprawicy wplątali;Canal X;2026-09-03;Niestety jest to mafia, która ma haki na wiele osób. Będą się bronić wszelkimi sposobami.;@LidiaKorpak;57;6;CAMP_A;CAMP_A: Pro-government supporters defending Tusk and attacking the opposition (PiS/Konfederacja) as corrupt mafias. CAMP_B: Anti-government critics accusing Tusk of lies, foreign loyalties, and ruining Poland.;0.8;Anger;The opposition functions as a mafia protecting its corrupt network.;Who specifically holds the blackmail material mentioned?;https://www.youtube.com/watch?v=0ZvyPWyMp5w;6.6% (100/1512)
🟥Karol Nawrocki korzystał z brudnych pieniędzy. Prezydent, jak i inni politycy patoprawicy wplątali;Canal X;2026-09-03;Ojciec JOZEFA BAKA z Amber Gold 😅😅😅😅😅;@otowaldekokoniewski;49;2;CAMP_B;CAMP_A: Pro-government supporters defending Tusk and attacking the opposition (PiS/Konfederacja) as corrupt mafias. CAMP_B: Anti-government critics accusing Tusk of lies, foreign loyalties, and ruining Poland.;0.6;Sarcasm;Mocks political figures by linking them to past financial scandals like Amber Gold.;;https://www.youtube.com/watch?v=0ZvyPWyMp5w;6.6% (100/1512)
🟥Karol Nawrocki korzystał z brudnych pieniędzy. Prezydent, jak i inni politycy patoprawicy wplątali;Canal X;2026-09-03;„Czy te oczy mogą kłamać ?”;@danutaszmigielska2193;32;15;CAMP_B;CAMP_A: Pro-government supporters defending Tusk and attacking the opposition (PiS/Konfederacja) as corrupt mafias. CAMP_B: Anti-government critics accusing Tusk of lies, foreign loyalties, and ruining Poland.;0.5;Sarcasm;Suggests the politician speaking is untrustworthy and lying.;;https://www.youtube.com/watch?v=0ZvyPWyMp5w;6.6% (100/1512)
🟥Karol Nawrocki korzystał z brudnych pieniędzy. Prezydent, jak i inni politycy patoprawicy wplątali;Canal X;2026-09-03;Jak by. ten okropny człowiek nie próbował przemycić jakichś śmierdzieli w  ustawie o krypto  to by Nawrocki podpisał;@fubar9872;21;6;CAMP_A;CAMP_A: Pro-government supporters defending Tusk and attacking the opposition (PiS/Konfederacja) as corrupt mafias. CAMP_B: Anti-government critics accusing Tusk of lies, foreign loyalties, and ruining Poland.;0.6;Frustration;Nawrocki would have signed the crypto bill if controversial elements weren't smuggled in.;;https://www.youtube.com/watch?v=0ZvyPWyMp5w;6.6% (100/1512)
🟥Karol Nawrocki korzystał z brudnych pieniędzy. Prezydent, jak i inni politycy patoprawicy wplątali;Canal X;2026-09-03;Co to za cyrk to nie sejm tylko cyrk na kułkach😂😂😂;@anielapolak991;19;8;CAMP_B;CAMP_A: Pro-government supporters defending Tusk and attacking the opposition (PiS/Konfederacja) as corrupt mafias. CAMP_B: Anti-government critics accusing Tusk of lies, foreign loyalties, and ruining Poland.;0.7;Sarcasm;The parliament resembles a chaotic circus rather than a legislative body.;;https://www.youtube.com/watch?v=0ZvyPWyMp5w;6.6% (100/1512)
🟥Karol Nawrocki korzystał z brudnych pieniędzy. Prezydent, jak i inni politycy patoprawicy wplątali;Canal X;2026-09-03;Czy te oczy mogą kłamać 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂;@ElaŚladowska;23;1;CAMP_B;CAMP_A: Pro-government supporters defending Tusk and attacking the opposition (PiS/Konfederacja) as corrupt mafias. CAMP_B: Anti-government critics accusing Tusk of lies, foreign loyalties, and ruining Poland.;0.5;Sarcasm;Mocks the facial expressions and perceived dishonesty of the speaker.;;https://www.youtube.com/watch?v=0ZvyPWyMp5w;6.6% (100/1512)
🟥Karol Nawrocki korzystał z brudnych pieniędzy. Prezydent, jak i inni politycy patoprawicy wplątali;Canal X;2026-09-03;Głównym świadkiem koronnym jest postać znana😂😂😂;@stanisawwan311;20;0;CAMP_B;CAMP_A: Pro-government supporters defending Tusk and attacking the opposition (PiS/Konfederacja) as corrupt mafias. CAMP_B: Anti-government critics accusing Tusk of lies, foreign loyalties, and ruining Poland.;0.4;Sarcasm;Discredits the main crown witness as a known, unreliable figure.;;https://www.youtube.com/watch?v=0ZvyPWyMp5w;6.6% (100/1512)
🟥Karol Nawrocki korzystał z brudnych pieniędzy. Prezydent, jak i inni politycy patoprawicy wplątali;Canal X;2026-09-03;Dziwnie czerwony 😂😂😂;@rafarafa5503;10;1;CAMP_B;CAMP_A: Pro-government supporters defending Tusk and attacking the opposition (PiS/Konfederacja) as corrupt mafias. CAMP_B: Anti-government critics accusing Tusk of lies, foreign loyalties, and ruining Poland.;0.4;Sarcasm;Mocks the speaker's flushed facial appearance during the address.;;https://www.youtube.com/watch?v=0ZvyPWyMp5w;6.6% (100/1512)
🟥Karol Nawrocki korzystał z brudnych pieniędzy. Prezydent, jak i inni politycy patoprawicy wplątali;Canal X;2026-09-03;Puste gesty, puste słowa, puste serce, pusta mowa, puste, choć zacięte usta, pusty wzrok i głowa pusta, pusty program i projekty, do cna pustych stek inwektyw, pusty jazgot, próżne żale, krzyk, co treści nie ma wcale, puste groźby, puste miny, wielkie morze próżnej śliny, puste hasła, obietnice, wszystko puste – poza picem! Słowem zero, nicość, próżnia – tym się w świecie Tusk wyróżnia... Tak o Panu, premierze piszą źli ludzie, to nie ludzie, to wilcy!!!;@andrzejszylejko3111;10;0;CAMP_B;CAMP_A: Pro-government supporters defending Tusk and attacking the opposition (PiS/Konfederacja) as corrupt mafias. CAMP_B: Anti-government critics accusing Tusk of lies, foreign loyalties, and ruining Poland.;0.9;Anger;Poetically condemns Donald Tusk as a hollow politician full of empty rhetoric and destruction.;;https://www.youtube.com/watch?v=0ZvyPWyMp5w;6.6% (100/1512)
🟥Karol Nawrocki korzystał z brudnych pieniędzy. Prezydent, jak i inni politycy patoprawicy wplątali;Canal X;2026-09-03;🤮Ale na szczęście to już koniec jesienią 2027. Zostaniecie rozliczeni;@Pawel-g9j;10;0;CAMP_B;CAMP_A: Pro-government supporters defending Tusk and attacking the opposition (PiS/Konfederacja) as corrupt mafias. CAMP_B: Anti-government critics accusing Tusk of lies, foreign loyalties, and ruining Poland.;0.8;Anger;Expresses anticipation for the fall and legal accountability of the current government in 2027.;;https://www.youtube.com/watch?v=0ZvyPWyMp5w;6.6% (100/1512)
