Video;Channel;Published Date;Comment;Author;Likes;Reply Count;Stance;Camp Definition;Arousal Score;Emotion;Core Argument;Unresolved Question;Link;Comment Analysis Coverage
The Male Exodus: Why Millions of Men Quit Dating and Women Finally Noticed;MALE LEGION;2026-07-30;MY MONEY MY WALLET;@Edison-h5x;18;2;CAMP_A;CAMP_A: Men who advocate for withdrawing from modern dating, marriage, and financial entanglement with women to preserve peace and resources. CAMP_B: Women and commentators who criticize or analyze men's withdrawal, often attributing it to misunderstanding or personal failure.;0.4;Frustration;Men should protect their financial resources rather than risk them in modern relationships.;;https://www.youtube.com/watch?v=k6gtGXvlSVI;100.0% (65/65)
The Male Exodus: Why Millions of Men Quit Dating and Women Finally Noticed;MALE LEGION;2026-07-30;Dating in not worth it;@Petar-v8y;14;1;CAMP_A;CAMP_A: Men who advocate for withdrawing from modern dating, marriage, and financial entanglement with women to preserve peace and resources. CAMP_B: Women and commentators who criticize or analyze men's withdrawal, often attributing it to misunderstanding or personal failure.;0.3;Disappointment;The costs and risks of dating outweigh any potential benefits for men.;;https://www.youtube.com/watch?v=k6gtGXvlSVI;100.0% (65/65)
The Male Exodus: Why Millions of Men Quit Dating and Women Finally Noticed;MALE LEGION;2026-07-30;"It's impressive that some of them are still taking the ""intimidated"" copium in 2026.  So many of them fail to understand...  It's not a lack of ability... It's not a lack of confidence... It's a lack of interest.";@RichardPuller-i2r;10;1;CAMP_A;CAMP_A: Men who advocate for withdrawing from modern dating, marriage, and financial entanglement with women to preserve peace and resources. CAMP_B: Women and commentators who criticize or analyze men's withdrawal, often attributing it to misunderstanding or personal failure.;0.5;Frustration;Men are not avoiding dating out of fear or intimidation, but out of a rational lack of interest.;;https://www.youtube.com/watch?v=k6gtGXvlSVI;100.0% (65/65)
The Male Exodus: Why Millions of Men Quit Dating and Women Finally Noticed;MALE LEGION;2026-07-30;Feed me, wash me, appreciate me, don't fight me.;@jessejames5033;10;1;CAMP_A;CAMP_A: Men who advocate for withdrawing from modern dating, marriage, and financial entanglement with women to preserve peace and resources. CAMP_B: Women and commentators who criticize or analyze men's withdrawal, often attributing it to misunderstanding or personal failure.;0.3;Neutral;A peaceful and supportive relationship requires simple, low-drama fundamentals.;;https://www.youtube.com/watch?v=k6gtGXvlSVI;100.0% (65/65)
The Male Exodus: Why Millions of Men Quit Dating and Women Finally Noticed;MALE LEGION;2026-07-30;6:18 She's still talking.;@satnav1980;6;3;CAMP_A;CAMP_A: Men who advocate for withdrawing from modern dating, marriage, and financial entanglement with women to preserve peace and resources. CAMP_B: Women and commentators who criticize or analyze men's withdrawal, often attributing it to misunderstanding or personal failure.;0.4;Sarcasm;The commentary provided by women in the video is excessive and uninformative.;;https://www.youtube.com/watch?v=k6gtGXvlSVI;100.0% (65/65)
The Male Exodus: Why Millions of Men Quit Dating and Women Finally Noticed;MALE LEGION;2026-07-30;PEACE;@Edison-h5x;6;1;CAMP_A;CAMP_A: Men who advocate for withdrawing from modern dating, marriage, and financial entanglement with women to preserve peace and resources. CAMP_B: Women and commentators who criticize or analyze men's withdrawal, often attributing it to misunderstanding or personal failure.;0.2;Neutral;Opting out of relationships brings a sense of tranquility.;;https://www.youtube.com/watch?v=k6gtGXvlSVI;100.0% (65/65)
The Male Exodus: Why Millions of Men Quit Dating and Women Finally Noticed;MALE LEGION;2026-07-30;Lady at 3:37. Define FEMALE ENERGY. Tell me that most of it has NOT TURNED NEGATIVE TOWARD MEN for reasons women CAN'T Understand or Change.;@johnm.sr.7646;4;1;CAMP_A;CAMP_A: Men who advocate for withdrawing from modern dating, marriage, and financial entanglement with women to preserve peace and resources. CAMP_B: Women and commentators who criticize or analyze men's withdrawal, often attributing it to misunderstanding or personal failure.;0.7;Anger;Modern female energy has turned hostile toward men for reasons women refuse to acknowledge.;What is female energy, and why has it turned negative toward men?;https://www.youtube.com/watch?v=k6gtGXvlSVI;100.0% (65/65)
The Male Exodus: Why Millions of Men Quit Dating and Women Finally Noticed;MALE LEGION;2026-07-30;Choosing Peace over Drama  Jesus loves you;@davidreynoso8593;4;1;CAMP_A;CAMP_A: Men who advocate for withdrawing from modern dating, marriage, and financial entanglement with women to preserve peace and resources. CAMP_B: Women and commentators who criticize or analyze men's withdrawal, often attributing it to misunderstanding or personal failure.;0.2;Neutral;Choosing personal peace and faith over the drama of relationships is the right path.;;https://www.youtube.com/watch?v=k6gtGXvlSVI;100.0% (65/65)
The Male Exodus: Why Millions of Men Quit Dating and Women Finally Noticed;MALE LEGION;2026-07-30;I’ve been with my wife 20 years now. If she leaves or dies. I’m done. I love my wife, but I will not go through this sh!t ever again.;@jondoecan;2;1;CAMP_A;CAMP_A: Men who advocate for withdrawing from modern dating, marriage, and financial entanglement with women to preserve peace and resources. CAMP_B: Women and commentators who criticize or analyze men's withdrawal, often attributing it to misunderstanding or personal failure.;0.6;Disappointment;Even happily married men recognize the immense stress of the dating market and vow never to re-enter it.;;https://www.youtube.com/watch?v=k6gtGXvlSVI;100.0% (65/65)
The Male Exodus: Why Millions of Men Quit Dating and Women Finally Noticed;MALE LEGION;2026-07-30;5:54 I know a few single guys building things.  Like houses on the that they bought. One is now building a big shed for his cars.;@BCbiker36;2;1;CAMP_A;CAMP_A: Men who advocate for withdrawing from modern dating, marriage, and financial entanglement with women to preserve peace and resources. CAMP_B: Women and commentators who criticize or analyze men's withdrawal, often attributing it to misunderstanding or personal failure.;0.3;Neutral;Single men are redirecting their energy and resources into building tangible assets for themselves.;;https://www.youtube.com/watch?v=k6gtGXvlSVI;100.0% (65/65)
