Comment Key;Comment ID;Video Key;Comment;Author;Comment Date;Likes;Reply Count;Is Reply;Engagement Score;Stance;Arousal Score;Emotion;Core Argument
1;UgzB6EUk4FvC2c7lgZh4AaABAg;1;Dope update kinda wish we got some dragon weapons to go with the armour but I assume that will come like the crystal stuff;@vVParkerVv;2026-08-28;102;8;1;118;CAMP_A;0.5;Excitement;The update looks dope, though I wish dragon weapons were included alongside the armor.
2;UgzAsmyrvIXnk8g9nOt4AaABAg;1;"Remove 24 hour drops from twitch , now bots/people selling account not only with your ""unqiue"" drops , but also with ""wehype"" rewards. Cmon guys , its time. And you know how it inflate category , stop this madness";@Equart;2026-08-28;67;12;1;91;CAMP_B;0.8;Anger;Remove 24-hour twitch drops because they inflate the category and empower botting and account selling.
3;Ugxlm77famXNvJ21UHt4AaABAg;1;This debuff is insanely good! They could do the same for Avalonians and World Bosses: significantly increase the loot/fame while preventing infinite spawns. A dude made 1 billion PVE fame last week (NA), lmao. Since you guys don't want to remove content, this could at least be a way to create more rotation and variety.;@GordinhAlbion;2026-08-28;61;2;1;65;CAMP_A;0.6;Excitement;The new debuff is a fantastic addition to increase variety and prevent infinite spawns in PVE.
4;Ugy9LVK6LIIAMUY3D_N4AaABAg;1;Now everyone wants a drake egg ❤;@unweem;2026-08-28;27;5;1;37;CAMP_A;0.4;Excitement;Everyone is going to want a drake egg now that they are announced.
5;UgzNsq_yGG-C1P6Jtah4AaABAg;1;Back when you added the EU server, you talked about adding server transfers when the economy had settled on the new server - Any news about server transfers coming or not coming in the future? :-);@chrisbenn;2026-08-28;8;15;1;38;CAMP_C;0.3;Neutral;Players are asking if server transfers will ever be implemented now that the EU server economy has settled.
6;Ugz3VU4PAIupX_iaIp54AaABAg;1;Amazing!! This is the push for me to finally actually play Albion!;@eko12;2026-08-28;12;3;1;18;CAMP_A;0.7;Excitement;This amazing update is the final push needed to make me start playing Albion.
7;UgzAsmyrvIXnk8g9nOt4AaABAg.Aa2dhnI4X1uAa2p1tvhgkb;1;botting like your operaGX campaign?;@Sephiroth9310;2026-08-28;12;0;1;12;CAMP_B;0.5;Sarcasm;Mocking the previous campaign regarding botting.
8;Ugwf62XmCTm6Ao_Q3Rt4AaABAg;1;Dang... Feel like that the dragon mount well get a price of 100milion plus time to grind😭;@MgaBOBO69;2026-08-28;2;10;1;22;CAMP_C;0.6;Disappointment;The dragon mount will likely cost over 100 million and require an intense grind.
9;UgzYwzyCpGpSu4bJADp4AaABAg;1;WE GOT DRAGON IN ALBION SOONER THAN GTA6 RELEASE;@orenjidesu7290;2026-08-28;9;0;0;9;CAMP_A;0.8;Excitement;Albion is getting dragons before GTA 6 is released.
10;UgzOXA6fxeFE3S_3IbJ4AaABAg;1;I've heard some people spreading rumors about whype,  buying and selling accounts for viewers etc, those people spreading such rumors must've lost all their viewership in favor of some better streamer😮 and now they want sbi to cut off the benefits the streamers have, that's ludicrous , I think SBI should check their streamers and even reward them more for the good job they are doing promoting Albion Online, that way even more people will be active in bringing in more content! Those who lost these rights should just accept their pitiful reality and maybe try regain some face by shutting up instead of trying to mislead the game developers , not that they would be noticed , but some people might really think life is as they have said it😂😂😂;@BarabasJudas;2026-08-28;7;1;1;9;CAMP_C;0.6;Anger;People spreading rumors about streamer rewards are just jealous and should stop whining to the developers.
11;UgzAsmyrvIXnk8g9nOt4AaABAg.Aa2dhnI4X1uAa2w5UXdIZi;1;"""Corruption is not bad, corruption is only bad if I'm not involved but if I'm part of that corruption, I'll defend it.""";@ulalalalas;2026-08-28;7;0;1;7;CAMP_B;0.5;Sarcasm;Criticizing hypocritical defenses of corrupt game mechanics.
12;UgzAsmyrvIXnk8g9nOt4AaABAg.Aa2dhnI4X1uAa2rUo9qjkf;1;​@Sephiroth9310😂😂😂😂 you got that right;@NOTURBUSINESS-55;2026-08-28;6;0;1;6;CAMP_B;0.4;Excitement;Agreeing with previous criticisms.
13;UgzAsmyrvIXnk8g9nOt4AaABAg.Aa2dhnI4X1uAa2vXQYBgg9;1;stop crying equart;@gabryeldemers2527;2026-08-28;6;0;1;6;CAMP_B;0.4;Anger;Telling a commenter to stop complaining.
14;UgzAsmyrvIXnk8g9nOt4AaABAg.Aa2dhnI4X1uAa39D41Xgnd;1;Imagine that you are STILL mad about getting kicked out of the creator program because of your own words and actions. Grow up Equart.;@matthewmammothswine4395;2026-08-28;6;0;1;6;CAMP_B;0.6;Anger;Accusing someone of holding a grudge over being kicked from the creator program.
15;UgzHvoHvLobgyCzVCWF4AaABAg;1;No new weapons??;@lordvoldemort7692;2026-08-28;3;2;1;7;CAMP_B;0.4;Disappointment;Expressing disappointment over the absence of new weapons.
16;Ugy8ebpgP8PZUH1t2cN4AaABAg;1;We got PVE again before a SA server;@dummyinvestor;2026-08-28;2;3;1;8;CAMP_B;0.4;Sarcasm;Sarcastic remark about getting more PVE content before a South American server.
17;UgwWoyrtGap0LLB3LWp4AaABAg;1;4000 damage in one skill from 5k hp mount with resistances WE (yes WE) all doomed, there will be no more Ava plates and static dungeons Count your days;@pokorist235;2026-08-28;2;3;1;8;CAMP_B;0.7;Anger;Excessive mount damage will ruin static dungeons and Ava plates, spelling doom for current meta activities.
